decisionId,classe,tipoJulgamento,assuntos,competencia,relatorOriginario,dataAutuacao,dataJulgamento,numeroProcesso,inteiroTeorPath
TRF2-LIVE-1,Agravo de Instrumento,,"Processo 5004056-85.2026.4.02.0000 Classe Agravo de Instrumento Assunto(s) Classificação e/ou Preterição, Concurso Público / Edital, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO, Prova de Títulos, Concurso Público / Edital, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO, Liminar, Tutela Provisória, DIREITO PROCESSUAL CIVIL E DO TRABALHO Competência Administrativo e Cível (Turma) Relator Or",Administrativo e Cível (Turma),GUILHERME CALMON NOGUEIRA DA GAMA,,,5004056-85.2026.4.02.0000,
TRF2-LIVE-2,Agravo de Instrumento,,"Processo 5004015-21.2026.4.02.0000 Classe Agravo de Instrumento Assunto(s) Multas e demais Sanções, Infração Administrativa, Atos Administrativos, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO Competência Administrativo e Cível (Turma) Relator Originário SANDRA MEIRIM CHALU BARBOSA DE CAMPOS Data Autuação 19/03/2026 Data Julgamento 19/03/2026 Agravo de Instrumento Nº 5004015-21.2026.4.02.0000/RJ",Administrativo e Cível (Turma),SANDRA MEIRIM CHALU BARBOSA DE CAMPOS,,,5004015-21.2026.4.02.0000,
TRF2-LIVE-3,Agravo de Instrumento,,"Processo 5004011-81.2026.4.02.0000 Classe Agravo de Instrumento Assunto(s) Dívida Ativa, DIREITO TRIBUTÁRIO, ISS/ Imposto sobre Serviços, Impostos, DIREITO TRIBUTÁRIO Competência Tributário (Turma) Relator Originário LETICIA DE SANTIS MELLO Data Autuação 19/03/2026 Data Julgamento 19/03/2026 Agravo de Instrumento Nº 5004011-81.2026.4.02.0000/RJ",Tributário (Turma),LETICIA DE SANTIS MELLO,,,5004011-81.2026.4.02.0000,
TRF2-LIVE-4,Agravo de Instrumento,,"Processo 5004000-52.2026.4.02.0000 Classe Agravo de Instrumento Assunto(s) Classificação e/ou Preterição, Concurso Público / Edital, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO, Liminar, Tutela Provisória, DIREITO PROCESSUAL CIVIL E DO TRABALHO Competência Administrativo e Cível (Turma) Relator Originário GUILHERME COUTO DE CASTRO Data Autuação 18/03/2026 Data Julgamento 19/03/2026 Agravo de Instrumen",Administrativo e Cível (Turma),GUILHERME COUTO DE CASTRO,,,5004000-52.2026.4.02.0000,
TRF2-LIVE-5,Agravo de Instrumento,,"Processo 5003997-97.2026.4.02.0000 Classe Agravo de Instrumento Assunto(s) Funcionamento de Estabelecimentos Empresariais, Licenças, Atos Administrativos, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO Competência Administrativo e Cível (Turma) Relator Originário RICARDO PERLINGEIRO Data Autuação 18/03/2026 Data Julgamento 19/03/2026 Agravo de Instrumento Nº 5003997-97.2026.4.02.0000/RJ",Administrativo e Cível (Turma),RICARDO PERLINGEIRO,,,5003997-97.2026.4.02.0000,
TRF2-LIVE-6,Agravo de Instrumento,,"Processo 5003985-83.2026.4.02.0000 Classe Agravo de Instrumento Assunto(s) RMI - Renda Mensal Inicial, RMI - Renda Mensal Inicial, Reajustes e Revisões Específicas, DIREITO PREVIDENCIÁRIO, Gratificação Natalina a partir da CF/88 (Art. 201, § 6º CF/88), Reajustes e Revisões Específicos, RMI - Renda Mensal Inicial, Reajustes e Revisões Específicas, DIREITO PREVIDENCIÁRIO, RMI pelo art. 202 CF/88 (média dos 36 últimos s",Previdenciário e Propriedade Industrial (Turma),SIMONE SCHREIBER,,,5003985-83.2026.4.02.0000,
TRF2-LIVE-7,Agravo de Instrumento,,"Processo 5003974-54.2026.4.02.0000 Classe Agravo de Instrumento Assunto(s) Índice da URV Lei 8.880/1994, Reajustes de Remuneração, Proventos ou Pensão, Servidor Público Civil, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO, Honorários Advocatícios em Execução Contra a Fazenda Pública, Sucumbência, Partes e Procuradores, DIREITO PROCESSUAL CIVIL E DO TRABALHO Competência Administrativo e Cível (Turma) Rel",Administrativo e Cível (Turma),GUILHERME BOLLORINI PEREIRA,,,5003974-54.2026.4.02.0000,
TRF2-LIVE-8,Agravo de Instrumento,,"Processo 5003973-69.2026.4.02.0000 Classe Agravo de Instrumento Assunto(s) Compromisso, Espécies de contratos, Obrigações, DIREITO CIVIL, Contratos Bancários, Espécies de contratos, Obrigações, DIREITO CIVIL Competência Administrativo e Cível (Turma) Relator Originário GUILHERME COUTO DE CASTRO Data Autuação 18/03/2026 Data Julgamento 19/03/2026 Agravo de Instrumento Nº 5003973-69.2026.4.02.0000/RJ",Administrativo e Cível (Turma),GUILHERME COUTO DE CASTRO,,,5003973-69.2026.4.02.0000,
TRF2-LIVE-9,Agravo de Instrumento,,"Processo 5003970-17.2026.4.02.0000 Classe Agravo de Instrumento Assunto(s) Compromisso, Espécies de contratos, Obrigações, DIREITO CIVIL, Constrição / Penhora / Avaliação / Indisponibilidade de Bens, Liquidação / Cumprimento / Execução, DIREITO PROCESSUAL CIVIL E DO TRABALHO Competência Administrativo e Cível (Turma) Relator Originário REIS FRIEDE Data Autuação 18/03/2026 Data Julgamento 19/03/2026 Agravo de Instrume",Administrativo e Cível (Turma),REIS FRIEDE,,,5003970-17.2026.4.02.0000,
TRF2-LIVE-10,Agravo de Instrumento,,"Processo 5003968-47.2026.4.02.0000 Classe Agravo de Instrumento Assunto(s) Exames Oficiais para Ingresso - ENEM, Processo Seletivo, ACESSO, DIREITO À EDUCAÇÃO, FIES, Programas de Bolsas e Financiamento Estudantil com Recursos Públicos, PERMANÊNCIA, DIREITO À EDUCAÇÃO, Renovação de Matrícula - Inadimplência, ACESSO, DIREITO À EDUCAÇÃO, Outros, Exames Oficiais para Ingresso - ENEM, Processo Seletivo, ACESSO, DIREITO À ",Administrativo e Cível (Turma),GUILHERME COUTO DE CASTRO,,,5003968-47.2026.4.02.0000,
TRF2-LIVE-11,Agravo de Instrumento,,"Processo 5003948-56.2026.4.02.0000 Classe Agravo de Instrumento Assunto(s) Indenização por dano material, Responsabilidade civil, DIREITO CIVIL, Indenização por dano moral, Responsabilidade civil, DIREITO CIVIL, Perícia Judicial, Provas, Processo e Procedimento, DIREITO PROCESSUAL CIVIL E DO TRABALHO Competência Administrativo e Cível (Turma) Relator Originário REIS FRIEDE Data Autuação 18/03/2026 Data Julgamento 19/",Administrativo e Cível (Turma),REIS FRIEDE,,,5003948-56.2026.4.02.0000,
TRF2-LIVE-12,Agravo de Instrumento,,"Processo 5003947-71.2026.4.02.0000 Classe Agravo de Instrumento Assunto(s) Dívida Ativa, DIREITO TRIBUTÁRIO, IRPJ/Imposto de Renda de Pessoa Jurídica, Impostos, DIREITO TRIBUTÁRIO Competência Tributário (Turma) Relator Originário ANTONIO HENRIQUE CORREA DA SILVA Data Autuação 18/03/2026 Data Julgamento 18/03/2026 Gabinete Eletrônico - Sede física: Rua Acre, 80, Sala 302A - Bairro: Centro - CEP: 20081-000 - Fone: (21)",Tributário (Turma),ANTONIO HENRIQUE CORREA DA SILVA,,,5003947-71.2026.4.02.0000,
TRF2-LIVE-13,Agravo de Instrumento,,"Processo 5003945-04.2026.4.02.0000 Classe Agravo de Instrumento Assunto(s) Compromisso, Espécies de contratos, Obrigações, DIREITO CIVIL, Novação, Adimplemento e extinção, Obrigações, DIREITO CIVIL Competência Administrativo e Cível (Turma) Relator Originário THEOPHILO ANTONIO MIGUEL FILHO Data Autuação 18/03/2026 Data Julgamento 18/03/2026 Agravo de Instrumento Nº 5003945-04.2026.4.02.0000/RJ",Administrativo e Cível (Turma),THEOPHILO ANTONIO MIGUEL FILHO,,,5003945-04.2026.4.02.0000,
